orth,pron_no_tones
ឆន្ទា,cʰantie
ពិសាខ,piʔsaak
ស្រឡៃ,srɑlay
បុល,bol
អធោ,ʔaʔtʰoo
សូត្រ,soot
សុវត្ថិ,soʔvattʰeʔ
ដោច,daoc
ភាតា,pʰietaa
ធានា,tʰienie
ផ្គូ,pkuu
ស្រួចស្រាល់,sruǝc-sral
យាមឃោស,yiemeaʔkʰooh
ភគវន្តមុនី,pʰeaʔkeaʔvoantaʔmuʔnii
ជ្រឹង,crɨŋ
អាសគ្រាម,ʔaasaʔkriem
ចាច់,cac
បណ្ដា,bɑndaa
យ៉ាង,yaaŋ
បង្កើច,bɑŋkaəc
មករា,meaʔkaʔraa
តែ,tae
សំនៀង,sɑmniəŋ
ក្រម,krɑm
រាំ,roam
ដំ,dɑm
សារ,saa
ចាវ,caav
ម៉ឺន,məən
កវី,kaʔvəy
ដង្ហើម,dɑŋhaəm
យ៉ាក,yaak
សុទិន,soʔtɨn
កំហល់,kɑmhɑl
សាកេ,saakeɛ
ហើយ,haǝy
ព្រឹក,prɨk
ផ្លូវ,pləv
តុល្យភាព,tolyeaʔpʰiep
ទូទឹម,tuu tɨm
ជានុ,cienuʔ
បរិនិព្វាន,paʔreʔnippien
បង្ក្រាប,bɑŋkraap
របាយ,rɔbaay
ស្ប៉ែត,spaet
ពាំ,poam
សុមនា,soʔmaʔnie
ប័ណ្ណ,ban
ឃ្លោក,klook
ជុល,cul
ម៉េច,məc
គន្លង,kʊənlɔɔŋ
ជីវប្រវត្តិ,ciiveaʔprɑvoat
ត្រើង,traəŋ
ឈ្វេង,cveeŋ
ម្កាក់,mkak
អាសអាភាស,ʔaasaʔaapʰieh
ឃោសនិក,kʰoosaʔnɨk
ត្រឡប់,trɑlɑp
រ៉ូង,rooŋ
តុកកែ,tok kae
អមរ,ʔaʔmɑɑ
ចិត្ត,cət
ពញា,pɲie
ពិទ្យាធរ,pityietʰɔɔ
ចង្កៀង,cɑŋkiəŋ
ប្រយោគ,prɑyook
ពៃរ៍,pey
ទួញ,tuəɲ
ករណី,kɑɑrnəy
ចក្ក,cak
ហើប,haǝp
ផ្លិត,plət
អាណត្តិ,ʔaanat
ម្ហូប,mhoop
រំអា,rumʔaa
នីតិវិធី,niiteʔviʔtʰii
បដិញាណ,paʔdeʔɲien
អភ័ព្វ,ʔaʔpʰoap
ស្រងាក,srɑŋaak
ស្ពឹក,spɨk
អយ្យកោ,ʔayyeaʔkao
សាមគ្គី,saameakkii
អ៊ីចឹង,ʔii cəŋ
អវមាន,ʔaʔveaʔmien
ឡាង,laaŋ
លន្លឹម,lʊənlɨm
រង្កៀស,rʊəŋkiəh
ចរិតលក្ខណៈ,caʔreʔtaʔleaʔkʰaʔnaʔ
កុលបុត្រ,kolbot
អតិបរមា,ʔaʔteʔpaʔraʔmaa
ទន្ទិញ,tʊəntɨɲ
ប្លម,plɑɑm
រវៃ,rɔvey
ហរៈ,haʔreaʔ
សម្ប័ទ,sɑmbat
ចំបែង,cɑmbaeŋ
សំយេះ,sɑmyeh
ខ្សៀវ,ksiəv
បន្ធូរ,bɑntʰuu
ព្រះរាជ,preah riec
ឆ្គង់,ckʊəŋ
ងើប,ŋəəp
ឆើយ,cʰaəy
ត្រមោច,trɑmaoc
ពិការ,piʔkaa
រសាវ,rɔsaav
បរិយាកាស,paʔreʔyaakaah
ឫសី,rɨʔsǝy
ពពុះ,pɔpuh
ទុគ្គតិ,tukkeaʔteʔ
ព្យាករណ៍,pyiekɑɑ
ប៉ប្រុន,pɑpron
មូលបទ,muuleaʔbɑt
កិច្ច,kəc
ស្ទាក់ស្ទើរ,steak-stǝǝ
បុញ្ញ,boɲɲaʔ
មរណ,meaʔreaʔnaʔ
រាជ្យ,riec
រេច,rɨc
ជ្រាប,criep
លូក,luuk
សំណែន,sɑmnaen
សាហេតុ,saahaet
ព្រាត់,proat
រាល,riel
ពួច,puəc
ថ្ពាល់,tpoal
រដ្ឋបាល,roattʰaʔbaal
ក្រឡា,krɑlaa
វណ្ណនា,voannaʔnie
ចរិត,caʔret
ក្រគរ,krɑkɔɔ
អំបិល,ʔɑmbǝl
ត្លែត,tlaet
ហុង,hoŋ
ចចក,cɑcɑɑk
មធ្យម,meaʔtyum
ល្បឿន,lbɨǝn
យេស៊ូ,yee-suu
ឫស្យា,rɨhsyaa
ចុងភៅ,coŋ pʰɨv
ឧទាហរណ,ʔuʔtiehɑɑ
លាមក,liemʊək
តិះ,teh
ចាយ,caay
ស្ពៅ,spɨv
បក,bɑɑk
បង្សុកូល,baŋsoʔkool
យីហោ,yii hao
ជនក,ceaʔneaʔkaʔ
តំបន់,tɑmbɑn
ចក្រី,caʔkrəy
ឱហាត,ʔaohaat
ឃ្លៀងឃ្លាត,kliəŋ-kliet
ប្រភាស,prɑpʰieh
វូប,vuup
អាយ៉ង,ʔaayɑɑŋ
កលា,kaʔlaa
ឡប់,lap
ធាក់,tʰeak
ម្ដុំ,mdom
បុព្វបទ,boppeaʔbɑt
អឺរ៉ុប,ʔəərop
កម្មាធិការ,kammaatʰiʔkaa
ចៅ,cav
អន់,ʔɑn
វណ្ណ,vannaʔ
អណ្ដើក,ʔɑndaǝk
លហុភណ្ឌ,leaʔhuʔPhoan
តាប,taap
ម្ចាស់,mcah
ក្អួត,kʔuət
ប្រាកដនិយម,praakɑtniʔyum
វា,vie
អសុរ,ʔaʔsoʔraʔ
សាមី,saamǝy
ដេក,deɛk
រវះរវាម,rɔveah-rɔviem
តុបតែង,top taeŋ
ផ្ទះ,pteah
ខ្ទប់,ktup
សីល,sel
ថ្នាំង,tnaŋ
ទារិកា,tieriʔkaa
ជ្រំ,crum
ទិសា,tiʔsaa
ចម្រុង,cɑmroŋ
ហឺយ,hǝǝy
ឆៀង,cʰiəŋ
ក្របី,krɑbəy
លីឡា,liilhaa
មនោគមវិជ្ជា,meaʔnookeaʔmeaʔviccie
កញ្ជ្រោង,kɑɲcrooŋ
តម្លឹង,tɑmləŋ
សុនក,soʔnɑk
កឹងកន្ត្រៃ,kəŋ kantray
វាយ,viey
រឹងរូស,rɨŋ-ruuh
ប្រស្នា,prɑsnaa
បង្រួប,bɑŋruəp
លួច,luǝc
ឧបការ,ʔuʔpaʔkaa
ទិសានុទិស,tɨhsaanuʔtɨh
បាយ័ន,baa yoan
រោង,rooŋ
ប្រា,praa
ល្បើក,lbaǝk
ក្ដួច,kduəc
ពេល,peel
ដី,dəy
ហៀបនឹង,hiǝp nɨŋ
ម៉ូត,moot
សម្របសម្រួល,sɑmrɑɑp-sɑmruəl
និត្យ,nɨt
ផ្លាប់,plap
សង្រៃ,sɑŋray
បន្លាច,bɑnlaac
អធិបតីភាព,ʔaʔtʰippaʔdəypʰiep
ទាន់,toan
ផាសុក,pʰaasok
ទេស,teeh
សាប់,sap
៦,6
ផូរផង់,pʰoo-pʰɑŋ
អានន្ទ,ʔaananteaʔ
ច្បាប់ប្រុស,cbap proh
កញ្ចប់,kaɲcap
ណ្ហើយ,nahaəy
ពាយ,piey
កកេរ,kɑkeɛ
កំប៉ាង,kɑmpaaŋ
ស្ដាយ,sdaay
ច្របល់,crɑbal
ប៉ិល,pəl
រមិល,rɔmɨl
ជោគជ័យ,cookcey
កុងស៊ុល,koŋ sul
ក្បូន,kboon
សញ្ជប់,saɲcup
សំណើច,sɑmnaəc
លៀត,liǝt
ផែង,pʰaeŋ
ផ្ដិត,pdət
ជំទប់,cumtup
បណ្ណាធិការ,bannaatʰiʔkaa
លោ,loo
មិត្តភាព,mittaʔpʰiep
ជិប,cɨp
សុធម្មា,soʔtʰoammie
អាជ្ញា,ʔaacɲaa
ខ្ពប,kpɔɔp
ផុស,pʰoh
ចៅអធិការ,cav ʔaʔtʰiʔkaa
អាកាសធាតុ,ʔaakaasaʔtʰiet
ស្រង់,srɑŋ
ឧបាយ,ʔuʔbaay
ប្រមូល,prɑmool
ចំទាំង,cɑmteaŋ
ឆោត,cʰaot
ពុន,pun
ប៉ាន់,pan
អម្បាញ់មិញ,ʔɑmbaɲ mɨɲ
អច្ឆរា,ʔaccʰaʔraa
ខន,kʰɑɑn
ទ្រព្យ,troap
ហ្លួង,luǝŋ
ម្នាក់,mneak
បំព្រង,bɑmprɔɔŋ
សុភាសិត,soʔpʰieset
សម្ងំ,sɑmŋɑm
មើលបំណាំ,məəl bɑmnam
ធេង,tʰeeŋ
គំរាម,kumriem
ឆាយ,cʰaay
សស្រាំ,sɑsram
ស្ញាញ,sɲaaɲ
សន្លឹង,sɑnləŋ
ជុំ,cum
គ្រក,krɔɔk
ព្រេន,preen
ឱន,ʔaon
សាច,saac
ផ្សំ,psɑm
ម្រេច,mrɨc
ចាក់,cak
ក្បាំង,kbaŋ
រមិលគុណ,rɔmɨl kun
វិហា,viʔhie
ស៊ែ,sɛɛ
ទទឹម,tɔtɨm
អះអាង,ʔah-ʔaaŋ
តម,tɑɑm
រហេម,rɔheɛm
ទទុង,tɔtuŋ
ពិតាន,piʔdaan
អាវុធ,ʔaavut
នាក់,neak
គ្របគ្រង,krɔɔp-krɔɔŋ
ដុត,dot
ឧភតោ,ʔuʔpʰeaʔtao
រញ៉ែ,rɔɲae
ជួយ,cuəy
កាល់,kal
ឫស្សី,rɨhsǝy
ផ្លែ,plae
ម៉ប,mɑɑp
ស្នែង,snaeŋ
ចង្វែក,cɑŋvaek
