orth,pron_no_tones,pron_with_tones
ປ່ອງ,pɔːŋ,pɔːŋ˧
ຢ່າງຍິ່ງ,jaːŋɲiŋ,jaːŋ˧ɲiŋ˧
ຊົມພູ,sompʰuː,som˧˥pʰuː˧˥
ອາວ,aːo,aːo
ມຸມ,mum,mum˧˥
ກິນໃນ,kinnaj,kinnaj˧˥
ຫາເງິນ,haːŋən,haː˩˧ŋən˧˥
ຂອງທີ່ລະລຶກ,kʰɔːŋtʰiːlalɯk,kʰɔːŋ˩˧tʰiː˧la˧lɯk˧
ອາຖັນ,aːtʰan,aːtʰan˩˧
ປະຊັນ,pasan,pa˧˥san˧˥
ເອົາໃຈ,aot͡ɕaj,aot͡ɕaj
ນວນ,nuaːn,nuaːn˧˥
ເປັນຫົວ,penhuaː,penhuaː˩˧
ແຍ້ມ,ɲɛːm,ɲɛːm˥˨
ຄວາມພິການ,kʰwaːmpʰikaːn,kʰwaːm˧˥pʰi˧kaːn
ປຶກ,pik,pik˧˥
ແຈບ,t͡ɕɛːp,t͡ɕɛːp˧˩
ຈາມ,t͡ɕaːm,t͡ɕaːm
ດິກ,dik,dik˧˥
ເກີ້ງ,kəːŋ,kəːŋ˥˨
ມາສະ,maːsa,maː˧˥sa˧˥
ໂປງ,poːŋ,poːŋ
ໂຈ້,t͡ɕoː,t͡ɕoː˥˨
ປະສົງ,pasoŋ,pa˧˥soŋ˩˧
ພັກດີ,pʰakdiː,pʰak˧diː
ຫນານ,naːn,naːn˩˧
ການເສດຖະກິດ,kaːnseːttʰakit,kaːnseːt˧˩tʰa˧˥kit˧˥
ອັດຕະປື,attapɯː,at˧˥ta˧˥pɯː
ທະບວງ,tʰabuaːŋ,tʰa˧buaːŋ
ຫຸນ,hun,hun˩˧
ຫນ້າບ້ານ,naːbaːn,naː˧˩baːn˥˨
ຣົດ,rot,rot˧
ການສີມື,kaːnsiːmɯː,kaːnsiː˩˧mɯː˧˥
ບັງຄັບ,baŋkʰap,baŋkʰap˧
ສັງກາ,saŋkaː,saŋ˩˧kaː
ລະງັບ,laŋap,la˧ŋap˧
ຕາຟາງ,taːfaːŋ,taːfaːŋ˧˥
ປະນີດ,paniːt,pa˧˥niːt˥˨
ຫົວອົກ,huaːok,huaː˩˧ok˧˥
ສັນຕະປາປາ,santapaːpaː,san˩˧ta˧˩paːpaː
ມີຄວາມສົນໃຈ,miːkʰwaːmsont͡ɕaj,miː˧˥kʰwaːm˧˥son˩˧t͡ɕaj
ເຊີ,sə,sə˧
ຜະ,pʰa,pʰa˧˥
ເລື່ອມ,lɯːə̯m,lɯːə̯m˧
ຄາລາ,kʰaːlaː,kʰaː˧˥laː˧˥
ບັ້ນ,ban,ban˥˨
ຂໍກະແຈ,kʰɔːkat͡ɕɛː,kʰɔː˩˧ka˧˥t͡ɕɛː
ຫມ້າ,maː,maː˧˩
ການຄອບຄອງ,kaːnkʰɔːpkʰɔːŋ,kaːnkʰɔːp˥˨kʰɔːŋ˧˥
ປະທະ,patʰa,pa˧˥tʰa˧
ໄກ,kaj,kaj
ກະຈາດ,kat͡ɕaːt,ka˧˥t͡ɕaːt˧˩
ພຶສ,pʰuaːŋ,pʰuaːŋ˧
ອ້ຽວ,iaːw,iaːw˥˨
ຊ້ອງ,sɔːŋ,sɔːŋ˥˨
ເວີ່,wəː,wəː˧
ຫລານ,laːn,laːn˩˧
ຖືສິດ,tʰɯːsit,tʰɯː˩˧sit˩˧
ນ້ຳຕານ,namtaːn,nam˥˨taːn
ກວານ,kwaːn,kwaːn
ຈົງອາງ,t͡ɕoŋaːŋ,t͡ɕoŋaːŋ
ຂັງ,kʰaŋ,kʰaŋ˩˧
ອຸເບກຂາ,ubeːkkʰaː,u˧˥beːk˧˩kʰaː˩˧
ຈ່າງ,t͡ɕaːŋ,t͡ɕaːŋ˧
ໄວຍາກອນ,wajɲaːkɔːn,waj˧˥ɲaː˧˥kɔːn
ຕີເບ,tiːbeː,tiːbeː
ດຽງ,diaːŋ,diaːŋ
ລະບອບ,labɔːp,la˧bɔːp˧˩
ຫິ້ວ,hiw,hiw˧˩
ອັກກະ,akka,ak˧˥ka˧˥
ບໍ່ແມ່ນ,bɔːmɛːn,bɔː˧mɛːn˧
ອະຄະຕິ,akʰati,a˧˥kʰa˧ti˧˥
ຫມວກ,muaːk,muaːk˧˩
ເວທີ,weːtʰiː,weː˧˥tʰiː˧˥
ອຸນຫະ,unha,unha˧˥
ແຫ້ວ,hɛːw,hɛːw˧˩
ກວ່າຫມູ່,kwaːmuː,kwaː˧muː˧
ຍ່ານ,ɲaːn,ɲaːn˧
ຫອມປ້ອມ,hɔːmpɔːm,hɔːm˩˧pɔːm˥˨
ເດົາ,dao,dao
ສົມສ່ວນ,somsuaːn,som˩˧suaːn˧
ເຄື່ອງບິນ,kʰɯːə̯ŋbin,kʰɯːə̯ŋ˧bin
ອະທິຖານ,atʰitʰaːn,a˧˥tʰi˧tʰaːn˩˧
ວັນນີ,wanniː,wan˧˥niː˧˥
ການຕ່າງປະເທດ,kaːntaːŋpatʰeːt,kaːntaːŋ˧pa˧˥tʰeːt˥˨
ອູ່,uː,uː˧
ພານຸ,pʰaːnu,pʰaː˧˥nu˧
ອັນນັ້ນ,annan,annan˥˨
ລິຂະສິດ,likʰasit,li˧kʰa˧˥sit˧˥
ທີ່ເພິ່ງ,tʰiːpʰəŋ,tʰiː˧pʰəŋ˧
ປາປະ,paːpa,paːpa˧˥
ເລ້ຫລ່ຽມ,leːliaːm,leː˥˨liaːm˧
ດວງວິນຍານ,duaːŋwinɲaːn,duaːŋwin˧˥ɲaːn˧˥
ກ້າວ,kaːo,kaːo˥˨
ການຮຽນ,kaːnhiaːn,kaːnhiaːn˧˥
ໄດ້ຜົນດີ,dajpʰondiː,daj˥˨pʰon˩˧diː
ຜາສຸກ,pʰaːsuk,pʰaː˩˧suk˧˥
ສຣີ,sarikaːn,sa˧˥ri˧kaːn
ວິຣິຍະ,wiriɲa,wi˧ri˧ɲa˧
ກິຣິຍາ,kiriɲaː,ki˧˥ri˧ɲaː˧˥
ໄຫມ້,maj,maj˧˩
ເສຣີ,seːriː,seː˩˧riː˧˥
ອົ້ນ,on,on˥˨
ເຟືອງ,fɯːə̯ŋ,fɯːə̯ŋ˧˥
ຈັດສັນ,t͡ɕatsan,t͡ɕat˧˥san˩˧
ປູ,puː,puː
ຖາງ,tʰaːŋ,tʰaːŋ˩˧
ອັດສະ,atsa,at˧˥sa˧˥
ປະມູນ,pamuːn,pa˧˥muːn˧˥
ໄມ້ດູ່,majdu,maj˥˨du˧
ປີງ,piːŋ,piːŋ
ເບນ,beːn,beːn
ບໍ່ທັນ,bɔːtʰan,bɔː˧tʰan˧˥
ໄຮ,haj,haj˧˥
ເອືອບ,ɯːə̯p,ɯːə̯p˧˩
ສລໍ,salɔː,sa˧˥lɔː˩˧
ມະຕະ,mata,ma˧ta˧˥
ຖາ,tʰa,tʰa˩˧
ສະຕົບ,satop,sa˧˥top˧˥
ແຮ,hɛː,hɛː˧˥
ຄະນອງ,kʰanɔːŋ,kʰa˧nɔːŋ˧˥
ຂົວ,kʰuaː,kʰuaː˩˧
ມໍ້,mɔː,mɔː˥˨
ຣາຊາ,raːsaː,raː˧˥saː˧˥
ລູ່,luː,luː˧
ເວັດ,wet,wet˧
ທຶກ,tʰik,tʰik˧
ຈິບ,t͡ɕip,t͡ɕip˧˥
ຍື່ນ,ɲɯːn,ɲɯːn˧
ລະກຳ,lakam,la˧kam
ກຸນ,kun,kun
ໄຕ້,taj,taj˥˨
ກິເລດ,kileːt,ki˧˥leːt˥˨
ໄດ້ແກ່,dajkɛː,daj˥˨kɛː˧
ຄຳນັບ,kʰamnap,kʰam˧˥nap˧
ຊິກ,sik,sik˧
ຫາບໍ່ໄດ້,haːbɔːdaj,haː˩˧bɔː˧daj˥˨
ຮຶມ,hɯm,hɯm˧˥
ຊາວ,saːo,saːo˧˥
ກະຊັງ,kasaŋ,ka˧˥saŋ˧˥
ຄົນຂີ້ຄ້ານ,kʰonkʰiːkʰaːn,kʰon˧˥kʰiː˧˩kʰaːn˥˨
ໄຂ່ເນົ່າ,kʰajnao,kʰaj˧nao˧
ພາໂລ,pʰaːloː,pʰaː˧˥loː˧˥
ຫລວງ,luaːŋ,luaːŋ˩˧
ຄົນລາວ,kʰonlaːo,kʰon˧˥laːo˧˥
ຫວນ,huaːn,huaːn˩˧
ມຶ,mɯ,mɯ˧
ເອື່ອຽ,ɯːə̯j,ɯːə̯j˧
ມານຍາ,maːnɲaː,maːn˧˥ɲaː˧˥
ອັນ,an,an
ຈັບມື,t͡ɕapmɯː,t͡ɕap˧˥mɯː˧˥
ນາທ,nuaːt,nuaːt˥˨
ໂມທະນາ,moːtʰanaː,moː˧˥tʰa˧naː˧˥
ໂຈນ,t͡ɕoːn,t͡ɕoːn
ຈຸດ,t͡ɕut,t͡ɕut˧˥
ສຽວ,siaːw,siaːw˩˧
ລາພອນ,laːpʰɔːn,laː˧˥pʰɔːn˧˥
ໄສຍະສາດ,sajɲasaːt,saj˩˧ɲa˧saːt˧˩
ຫົວໃຈ,huaːt͡ɕaj,huaː˩˧t͡ɕaj
ພິພົບ,pʰipʰop,pʰi˧pʰop˧
ອຸທາຫອນ,utʰaːhɔːn,u˧˥tʰaː˧˥hɔːn˩˧
ອາການ,aːkaːn,aːkaːn
ສຸດຕັນ,suttan,sut˧˥tan
ປັດສິມ,patsim,pat˧˥sim˩˧
ເສືອກ,sɯːə̯k,sɯːə̯k˧˩
ທັດສະນະ,tʰatsana,tʰat˧sa˧˥na˧
ສາຣະ,saːra,saː˩˧ra˧
ເນົາ,nao,nao˧˥
ລົມ,lom,lom˧˥
ລວກ,luaːk,luaːk˥˨
ສະເດັດ,sadet,sa˧˥det˧˥
ຫົວພໍ່,huaːpʰɔː,huaː˩˧pʰɔː˧
ແທວ,tʰɛːw,tʰɛːw˧˥
ຄຳແປ,kʰampɛː,kʰam˧˥pɛː
ວຽກ,wiaːk,wiaːk˥˨
ກິນແຫນງ,kinnɛːŋ,kinnɛːŋ˩˧
ສິກ,sik,sik˧˥
ສຸມາລີ,sumaːliː,su˧˥maː˧˥liː˧˥
ຂັ້ງ,kʰaŋ,kʰaŋ˧˩
ບໍດີ,bɔːdiː,bɔːdiː
ສົມມຸດ,sommut,som˩˧mut˧
ຫວິດ,wit,wit˧˥
ໂປໂລ,poːloː,poːloː˧˥
ແມ່ທັບ,mɛːtʰap,mɛː˧tʰap˧
ເປັນແຖວ,pentʰɛːw,pentʰɛːw˩˧
ເຄືອງ,kʰɯːə̯ŋ,kʰɯːə̯ŋ˧˥
ສົມບັດ,sombat,som˩˧bat˧˥
ອູ,uː,uː
ເສວະນາ,seːwanaː,seː˩˧wa˧naː˧˥
ອະນາຄົດ,anaːkʰot,a˧˥naː˧˥kʰot˧
ນ້ຳສຽງ,namsiaːŋ,nam˥˨siaːŋ˩˧
ແຢ່ງ,jɛːŋ,jɛːŋ˧
ພັນຣະນາ,pʰanranaː,pʰan˧˥ra˧naː˧˥
ພໍ,pʰɔː,pʰɔː˧˥
ຈີກ,t͡ɕiːk,t͡ɕiːk˧˩
ສຽບ,siaːp,siaːp˧˩
ຖືສັດ,tʰɯːsat,tʰɯː˩˧sat˧˥
ຟາດ,faːt,faːt˥˨
ກະຕິບ,katip,ka˧˥tip˧˥
ເກືອບ,kɯːə̯p,kɯːə̯p˧˩
ຂາດໃຈ,kʰaːtt͡ɕaj,kʰaːt˧˩t͡ɕaj
ສົມນ້ຳຫນ້າ,somnamnaː,som˩˧nam˥˨naː˧˩
ອັນອື່ນ,anɯːn,anɯːn˧
ຊວງ,suaːŋ,suaːŋ˧˥
ໄພສານ,pʰajsaːn,pʰaj˧˥saːn˩˧
ພິກຸນ,pʰikun,pʰi˧kun
ເຈົ້າພາບ,t͡ɕaopʰaːp,t͡ɕao˥˨pʰaːp˥˨
ອັບປະລັກ,appalak,ap˧˥pa˧˥lak˧
ຕ່ວນ,tuaːn,tuaːn˧
ຕັສຮູ້,tuaːŋ,tuaːŋ˥˨
ບັນຊາ,bansaː,bansaː˧˥
ຍົກໄປ,ɲokpaj,ɲok˧paj
ບັນຈຸ,bant͡ɕu,bant͡ɕu˧˥
ຄວາ,kʰwaː,kʰwaː˧˥
ສັ້ນ,san,san˧˩
ບຶດ,bit,bit˧˥
ເຊົ້າ,sao,sao˥˨
ເດັນ,den,den
ໂອ້ລົມ,oːlom,oː˥˨lom˧˥
ມ້າງ,maːŋ,maːŋ˥˨
ອ້າງວ້າງ,aːŋwaːŋ,aːŋ˥˨waːŋ˥˨
ມອງ,mɔːŋ,mɔːŋ˧˥
ດ່ວນ,duaːn,duaːn˧
ຈື່,t͡ɕɯː,t͡ɕɯː˧
ວັ່ນ,wan,wan˧
ສັກກະ,sakka,sak˧˥ka˧˥
ພິຈິດ,pʰit͡ɕit,pʰi˧t͡ɕit˧˥
ອາໂປ,aːpoː,aːpoː
ສະຫະ,saha,sa˧˥ha˧˥
ພະນະ,pʰana,pʰa˧na˧
ຄົນນອກ,kʰonnɔːk,kʰon˧˥nɔːk˥˨
ຕັນທາງ,tantʰaːŋ,tantʰaːŋ˧˥
ແຖນ,tʰɛːn,tʰɛːn˩˧
ຫຸ່ນ,hun,hun˧
ຮັ້ນ,han,han˥˨
ເສັ້ນ,sen,sen˧˩
ບໍ່ຕ້ອງ,bɔːtɔːŋ,bɔː˧tɔːŋ˥˨
ອັນຕະ,anta,anta˧˥
ນະພະ,napʰa,na˧pʰa˧
ແອບອ້າງ,ɛːpaːŋ,ɛːp˧˩aːŋ˥˨
ເສັຽ,siaː,siaː˩˧
ມັດສະ,matsa,mat˧sa˧˥
ພຽງຄັ້ງດຽວ,pʰiaːŋkʰaŋdiaːw,pʰiaːŋ˧˥kʰaŋ˧˥diaːw
