orth,pron_no_tones
រឿង,rɨəŋ
កន,kɑɑn
ខេត្ត,kʰaet
នាក់,neak
សម្រាប់,sɑmrap
ថៃ,tʰay
ឈ្មោះ,cmʊəh
ផល,pʰɑl
ចុះ,coh
ករ,kɑɑ
មុខ,muk
បញ្ហា,paɲhaa
ព្រោះ,prʊəh
លើក,lǝǝk
ពាក្យ,piek
មើល,məəl
កាល,kaal
ឡើយ,laəy
អស់,ʔɑh
ប៉ុន្តែ,pontae
សូម,soom
គ្មាន,kmien
ចក,cɑɑk
អង្គការ,ʔɑŋkaa
អំពី,ʔɑmpii
ស្ត្រី,strǝy
ចិត្ត,cət
នាំ,noam
ថ្មី,tməy
ចាប់,cap
លក,lɔɔk
ចំពោះ,cɑmpʊəh
នាង,nieŋ
កក្កដា,kakkaʔdaa
អ្វី,ʔvǝy
ម្នាក់,mneak
របប,rɔbɑɑp
ចង់,cɑŋ
ដី,dəy
ផ្លូវ,pləv
រដ្ឋាភិបាល,roattʰaapʰiʔbaal
ណាស់,nah
ប្រាសាទ,praasaat
អង,ʔɑɑŋ
ជាង,cieŋ
រួម,ruəm
ស្រី,srǝy
រូប,ruup
ល្អ,lʔɑɑ
គ្រប់,krup
ក្រោយ,kraoy
កូន,koon
កង,kɑɑŋ
កាន់,kan
ជួយ,cuəy
មិថុនា,mitʰoʔnaa
លេខ,leek
ទឹក,tɨk
មុន,mun
បើក,baək
កំពុង,kɑmpuŋ
ទើប,təəp
ការងារ,kaaŋie
អំពើ,ʔɑmpǝǝ
ផ្សេង,pseɛŋ
ផត,pʰɑɑt
អាន,ʔaan
ប្រធាន,prɑtʰien
ផ្ទះ,pteah
យល់,yʊəl
សង្គម,sɑŋkum
ទុក,tuk
ប្រកាស,prɑkaah
បន្ត,bɑntɑɑ
ធំ,tʰom
រដ្ឋ,roat
ឃុំ,kʰum
គួរ,kuə
សារ,saa
មីនា,miinaa
ភូមិ,pʰuum
យស,yʊəh
រួច,ruəc
ដ៏,dɑɑ
សិទ្ធិ,settʰiʔ
គិត,kit
ហេតុ,haet
ចត,cɑɑt
ក្រសួង,krɑsuəŋ
ក្រោម,kraom
ហ្នឹង,nɨŋ
ពីរ,pii
ចម,cɑɑm
សែន,saen
បញ្ជាក់,bɑɲceak
ប្រាប់,prap
ខ្លះ,klah
បទ,bɑt
លក់,lʊək
សេ,seɛ
ប្រជាពលរដ្ឋ,prɑciepʊəlrʊət
តំបន់,tɑmbɑn
រយៈ,reaʔyeaʔ
មែន,mɛɛn
ពុំ,pum
ប្រសាសន៍,prɑsaah
អត់,ʔɑt
ពិត,pɨt
ហ៊ុន,hun
បង្កើត,bɑŋkaət
កាសែត,kaasaet
អន្តរជាតិ,ʔɑntaʔraʔciet
ប្រាក់,prak
ដក,dɑɑk
សម្ដេច,sɑmdac
ឆ្នោត,cnaot
ផ្នែក,pnaek
បែប,baep
រាល់,roal
ពិភាក្សា,piʔpʰieksaa
នយោបាយ,nɔyoobaay
ឈើ,cʰəə
ស៊ី,sii
ថ្លៃ,tlay
ប្រឆាំង,prɑcʰaŋ
កិច្ច,kəc
សំរាប់,sɑmrap
ឧសភា,ʔuʔsaʔpʰie
តើ,taə
អី,ʔəy
ដើម,daəm
សំខាន់,sɑmkʰan
សុំ,som
បុរស,boʔrɑh
មេសា,meesaa
របរ,rɔbɑɑ
តម្លៃ,tɑmlay
មេ,mee
សរសេរ,sɑɑ seɛ
បោះ,bɑh
ខ្លាំង,klaŋ
លង,lɔɔŋ
ដឹក,dək
លុយ,luy
គោល,kool
ធន,tʰʊən
កាត់,kat
ពល,pʊəl
មន្ត្រី,mʊəntrəy
បរ,bɑɑ
រហូត,rɔhoot
ដៃ,day
ប្រជាជន,prɑciecʊən
រល,rɔɔl
ថ្នាក់,tnak
ខុស,kʰoh
ភាសា,pʰiesaa
ចរ,cɑɑ
ជូន,cuun
តាំង,taŋ
ផ្សាយ,psaay
រត,rɔɔt
ធ្នូ,tnuu
កន្លែង,kɑnlaeŋ
ចេះ,ceh
មករា,meaʔkaʔraa
ព្រម,prɔɔm
រន,rɔɔn
ផ្ដល់,pdɑl
ចាំ,cam
តុលា,toʔlaa
ទាន់,toan
បង្ហាញ,bɑŋhaaɲ
ចំ,cɑm
ព្រឹក,prɨk
បី,bəy
សាលា,saalaa
លន,lɔɔn
ដើរ,daə
យម,yeaʔmeaʔ
ស្លាប់,slap
ជួប,cuəp
មតិ,meaʔteʔ
ប្រជា,prɑcie
បាត់,bat
ក្រៅ,krav
អភិវឌ្ឍន៍,ʔaʔpʰiʔvoat
ឯកសារ,ʔaekaʔsaa
កម្មវិធី,kamviʔtʰii
គ្រួសារ,kruəsaa
អត្ថបទ,ʔattʰaʔbɑt
ប៉ុណ្ណោះ,ponnɑh
ព្រៃ,prey
បន្ថែម,bɑntʰaem
នានា,nienie
ដំណើរ,dɑmnaə
ជាប់,coap
តុលាការ,toʔlaakaa
ដុល្លារ,dollaa
ហៅ,hav
រៀបចំ,riəp cɑm
ចុច,coc
សៀម,siǝm
ម៉ោង,maoŋ
បញ្ចេញ,bɑɲcəɲ
ចំណែក,cɑmnaek
នា,nie
ទាក់,teak
កន្លង,kɑnlɑɑŋ
ប៉ូលិស,poolih
បំផុត,bɑmpʰot
រៀន,riən
ទិញ,tɨɲ
អា,ʔaa
រាជ,riec
បន្ទាប់,bɑntoap
សួរ,suǝ
ម្ចាស់,mcah
អង្គ,ʔɑŋ
ពលរដ្ឋ,pʊəlləroat
សព,sɑp
រៀប,riəp
កញ្ញា,kaɲɲaa
ពិនិត្យ,piʔnit
ប្រពន្ធ,prɑpʊən
ករណី,kɑɑrnəy
វាយ,viey
សម្រេច,sɑmrac
ជម,cɔɔm
ជិត,cɨt
រវាង,rɔvieŋ
យោបល់,yoobɑl
រស់,rʊəh
នាយក,nieyʊək
អនុវត្ត,ʔaʔnuʔvoat
អាយុ,ʔaayuʔ
តប,tɑɑp
ម្ដង,mdɑɑŋ
បញ្ចូល,bɑɲcool
ធ្លាប់,tloap
ប្រេង,preɛŋ
ការពារ,kaapie
ផ្សារ,psaa
ពន,pɔɔn
គ្រឿង,krɨəŋ
វេលា,veelie
ទ្រង់,trʊəŋ
ប្រុស,proh
រណ,reaʔnaʔ
សិក្សា,sǝksaa
នព,nɔɔp
ស្គាល់,skoal
អាមេរិក,ʔaameerik
សុខ,sok
ពិសេស,piʔsaeh
ជើង,cəəŋ
គ្រាន់,kroan
មហា,meaʔhaa
បំណង,bɑmnɑɑŋ
វេទិកា,veetiʔkaa
លាន,lien
ជីវិត,ciivɨt
ភាគ,pʰiek
ទាហាន,tiehien
ខ្ពស់,kpʊəh
ពេញ,pɨɲ
រដ្ឋមន្ត្រី,roattʰaʔmʊəntrəy
ប្រភព,prɑpʰup
គ្រោះ,krʊək
ប្អូន,pʔoon
តំណាង,dɑmnaaŋ
ទោះ,tʊəh
កុមារ,koʔmaa
ប្រមាណ,prɑmaan
រាប់,roap
កុម្ភៈ,kompʰeak
បច្ចុប្បន្ន,paccopbɑn
អំណាច,ʔɑmnaac
ដង,dɑɑŋ
គ្រូ,kruu
រក្សា,reaksaa
ច្បាស់,cbah
សកម្មភាព,saʔkammeaʔpʰiep
សេរី,seɛrǝy
អប់រំ,ʔɑp rum
សមាជិក,saʔmaacɨk
ប្រហែល,prɑhael
ប្រកប,prɑkɑɑp
សិន,sən
តូច,tooc
ជំរុញ,cumruɲ
ថ្លែង,tlaeŋ
ប្រជុំ,prɑcum
ចុង,coŋ
ក្មេង,kmeɛŋ
ហិង្សា,hǝŋsaa
សា,saa
កម្លាំង,kɑmlaŋ
អាស៊ី,ʔaazii
វត្ត,voat
មិត្ត,mit
សត្វ,sat
វិទ្យុ,vittyuʔ
ត្រង់,trɑŋ
លេង,leeŋ
ប្រចាំ,prɑcam
ថយ,tʰɑɑy
ត្រឹម,trəm
យប់,yup
អញ្ជើញ,ʔɑɲcǝǝɲ
សោះ,sɑh
ដដែល,dɑdael
អប,ʔɑɑp
ចំណុច,cɑmnoc
បង់,bɑŋ
ចោទ,caot
គ្រប់គ្រង,krup-krɔɔŋ
ប្រសិន,prɑsən
ស្ថិត,stʰət
នារី,nierii
ឆ្លើយ,claəy
នប,nɔɔp
លទ្ធផល,lattʰeaʔpʰɑl
រំលោភ,rumloop
ចៅ,cav
ប្រព័ន្ធ,prɑpoan
ចាត់,cat
ចប,cɑɑp
បរទេស,bɑɑrəteeh
សត,saʔtaʔ
ដំបូង,dɑmbooŋ
តែង,taeŋ
ចាស់,cah
ដូរ,doo
បារាំង,baaraŋ
ស្ដី,sdǝy
បង្ក,bɑŋkɑɑ
ឥត,ʔet
យូរ,yuu
ខ្សែ,ksae
អក្សរ,ʔaksɑɑ
យុវជន,yuʔveaʔcʊən
រៀល,riəl
ប្រមូល,prɑmool
តា,taa
ឪពុក,ʔǝv puk
មរ,mɔɔ
ហ៊ាន,hien
ផ្សព្វផ្សាយ,psɑp-psaay
លុះ,luh
យួន,yuən
វៀតណាម,viət nạam
នរណា,nɔɔnaa
ចែក,caek
ប៉ុន្មាន,ponmaan
ប្រ,prɑ-
រត់,rʊət
ពិធី,piʔtʰii
ត្រឡប់,trɑlɑp
ប្រាកដ,praakɑat
ភ្នំ,pnum
បិទ,bet
ខណ្ឌ,kʰan
ប្រភេទ,prɑpʰeet
ទោស,tooh
បន្តិច,bɑntəc
ប្រឈម,prɑcʰɔɔm
ទស,tʊəh
ក្រហម,krɑhɑɑm
ទឹម,tɨm
តិច,təc
សិស្ស,səh
ប្រយោជន៍,prɑyaoc
ងរ,ŋɔɔ
ទាក់ទង,teak tɔɔŋ
នរ,nɔɔ
អញ,ʔaɲ
ថាមពល,tʰaamaʔpʊəl
ចោល,caol
ងាយ,ŋiey
ភ្លាម,pliem
ម្ដាយ,mdaay
ទូលាយ,tuuliey
ចិន,cən
លែង,lɛɛŋ
សម័យ,saʔmay
បញ្ជូន,bɑɲcuun
កម្ម,kam
សេចក្តី,sackdǝy
ខ្លាច,klaac
អម,ʔɑɑm
ឥឡូវ,ʔləv
សកល,saʔkɑl
ផ្ទាល់,ptoal
ខំ,kʰɑm
ភេទ,pʰeet
ត្រី,trəy
បញ្ជី,bɑɲcii
សព្វ,sɑp
ជិះ,cih
សង្កាត់,sɑŋkat
ស្រួល,sruǝl
សាធារណៈ,saatʰiereaʔnaʔ
រៀង,riəŋ
ចំណាយ,cɑmnaay
មូល,muul
គោរព,koorup
របៀប,rɔbiəp
ក្លាយ,klaay
សភា,saʔpʰie
ឆ្ពោះ,cpʊəh
បរទ,bɑɑrɑɑt
កោះ,kɑh
ក្បាល,kbaal
អារម្មណ៍,ʔaarɑm
ថែម,tʰaem
ប្រព្រឹត្ត,prɑprɨt
ឆាប់,cʰap
ឱកាស,ʔaokaah
ភ្លើង,pləəŋ
កាប់,kap
ពាក់,peak
រើស,rəəh
អះអាង,ʔah-ʔaaŋ
ដប,dɑɑp
សក,sɑɑk
របក,rɔbɑɑk
ប្រកួត,prɑkuət
ចរាចរណ៍,cɑɑraacɑɑ
គំនិត,kumnit
ធ្លាក់,tleak
គជ,keaʔceaʔ
បាយ,baay
សប,sɑɑp
ថវិកា,tʰaʔviʔkaa
លយ,lɔɔy
សមាគម,saʔmaakum
ជំនួយ,cumnuəy
ឆ្លង,clɑɑŋ
ទាញ,tieɲ
គរ,kɔɔ
ពម,pɔɔm
ល្ងាច,lŋiec
អនុញ្ញាត,ʔaʔnuɲɲaat
ខរ,kʰɑɑ
ឈ្មួញ,cmuəɲ
សៀវភៅ,siǝv pʰɨv
ហប,haap
សហ,saʔhaʔ
ឡាន,laan
រទង,rɔtɔɔŋ
សម្លាប់,sɑmlap
ពេក,peek
ស្ថាប័ន,stʰaaban
មាត់,moat
ឆ្ងាយ,cŋaay
សុទ្ធ,sot
ស្ថានភាព,stʰaanpʰiep
ច្រក,crɑɑk
ពុក,puk
ជ័យ,cey
ឈប់,cʰup
មូលដ្ឋាន,muulattʰaan
និយម,niʔyum
ស្រឡាញ់,srɑlaɲ
ម៉េច,məc
ទំព័រ,tumpoa
អភិបាល,ʔaʔpʰiʔbaal
មករ,meaʔkɑɑ
ជំនាញ,cumnieɲ
ប្រកាន់,prɑkan
ជួញ,cuəɲ
ក្តី,kdəy
ជ្រើស,crəəh
ស្វាយ,svaay
រដ្ឋបាល,roattʰaʔbaal
លិខិត,liʔkʰət
ធម្មតា,tʰoammeaʔdaa
លួច,luǝc
ដេក,deɛk
អង្គុយ,ʔɑŋkuy
រី,rii
ខៀវ,kʰiəv
បញ្ចាំង,bɑɲcaŋ
ដោះ,dɑh
ថត,tʰɑɑt
របួស,rɔbuəh
ស្នើ,snaǝ
សំដី,sɑmdəy
សង្ឃឹម,sɑŋkʰɨm
បាញ់,baɲ
ភ្ជាប់,pcoap
កញ្ចក់,kaɲcak
រសក,rɔsɑɑk
ឈរ,cʰɔɔ
បណ្ដាល,bɑndaal
អតីត,ʔaʔdɨt
អង់គ្លេស,ʔɑŋkleeh
ភ្នែក,pnɛɛk
បញ្ចប់,bɑɲcɑp
កណ្ដាល,kɑndaal
អត,ʔɑɑt
ដំបង,dɑmbɑɑŋ
ទម,tɔɔm
ប្រគល់,prɑkʊəl
បន្ថយ,bɑntʰɑɑy
នាទី,nietii
ម៉ឺន,məən
សំណុំ,sɑmnom
ឆ្លុះ,cloh
ការណ៍,kaa
ចន្ទ,can
ជម្លោះ,cumlʊəh
ចាក់,cak
ខណៈ,kʰaʔnaʔ
អាហារ,ʔaahaa
យុត្តិធម៌,yutteʔtʰoa
ប្រសើរ,prɑsaə
អាទិភាព,ʔaatiʔpʰiep
រលួយ,rɔluəy
ស្ដេច,sdac
ន៏,nɔɔ
យោង,yooŋ
ពន្ធ,pʊən
សៀមរាប,siǝm riep
ទំនង,tumnɔɔŋ
ផលិត,pʰɑlɨt
ដាច់,dac
ស្រង់,srɑŋ
កសាង,kɑɑ saaŋ
ផ្ទុយ,ptuy
កំពង់,kɑmpʊəŋ
សិទ្ធ,set
ជាន់,coan
បឹង,bəŋ
ស្កាត់,skat
ចំណូល,cɑmnool
ទំនិញ,tumnɨɲ
ដទៃ,dɑtey
ក្រីក្រ,krəy-krɑɑ
ហេ,heɛ
កីឡា,kəylaa
ការិយាល័យ,kaariʔyaalay
លី,lii
គណៈ,keaʔnaʔ
ចំណោម,cɑmnaom
អនុម័ត,ʔaʔnuʔmat
ស្ដាប់,sdap
គោ,koo
លាវ,liev
លុប,lup
រដ្ឋសភា,roattʰaʔsaʔpʰie
ភ្ញៀវ,pɲiəv
ស្រប,srɑɑp
រឡ,rɔlɑɑ
អង្កេត,ʔɑŋkeɛt
បុណ្យ,bon
បំពេញ,bɑmpɨɲ
ន័យ,ney
មាស,mieh
តុ,tok
ដែន,daen
ថ្នូរ,tnoo
រីក,riik
គេច,kɨc
ជឿ,cɨə
សម្បត្តិ,sɑmbat
សូវ,sǝv
សាច់,sac
ទប់,tup
សល់,sɑl
ប្រែ,prae
ពុធ,put
ស្រាវជ្រាវ,sraav-criev
ជះ,ceah
ផ្ទៃ,ptey
តម្រូវ,tɑmrəv
លំបាក,lumbaak
ហាក់,hak
យោធា,yootʰie
នាយ,niey
មន្ទីរ,mʊəntii
សប្បាយ,sapbaay
ស្រែ,srae
ស្រាប់,srap
ព័ន្ធ,poan
កំពស់,kɑmpʊəh
ស្រាយ,sraay
នឹក,nɨk
សមភាព,saʔmaʔpʰiep
គ្រាប់,kroap
រ៉ា,raa
និពន្ធ,niʔpʊən
ដាំ,dam
អើយ,ʔaǝy
គោក,kook
រស្មី,reaʔsməy
ល្មើស,lmǝǝh
កសិកម្ម,kaʔseʔkam
បណ្ឌិត,bɑndɨt
ស៊ើប,sǝǝp
ជៀស,ciəh
ឈ្នះ,cneah
ស្ទឹង,stɨŋ
ឯក,ʔaek
បេតិកភណ្ឌ,peɛteʔkaʔpʰoan
អង្ករ,ʔɑŋkɑɑ
ទន់,tʊən
យោ,yoo
គណៈកម្មាធិការ,keaʔnaʔkammaatʰiʔkaa
អាវុធ,ʔaavut
ចប់,cɑp
ទម្រង់,tumrʊəŋ
មជ្ឈមណ្ឌល,maccʰeaʔmʊəndʊəl
សរ,sɑɑ
គង់,kʊəŋ
ទូរទស្សន៍,tuureaʔtʊəh
បញ្ជា,bɑɲcie
ក្បែរ,kbae
វី,vii
ពាណិជ្ជកម្ម,pienɨcceaʔkam
វាង,vieŋ
ព្យាយាម,pyieyiem
ស្អាត,sʔaat
បន្ទាយ,bɑntiey
ចំហ,cɑmhɑɑ
សំណាក់,sɑmnak
ខ្មៅ,kmav
ផុត,pʰot
សេវា,seɛvie
គុណ,kun
គូ,kuu
អគ្គិសនី,ʔakkihsaʔnii
ជ្រាប,criep
ប្រវត្តិសាស្ត្រ,prɑvoatteʔsaah
ព្រះសង្ឃ,preah sɑŋ
ទស្សនា,tʊəhsaʔnaa
ផ្ដើម,pdaəm
បាទ,baat
អង្គារ,ʔɑŋkie
មណ្ឌល,mʊəndʊəl
ផ្ញើ,pɲaə
ហួស,huǝh
អង្គរ,ʔɑŋkɔɔ
បង្រៀន,bɑŋriən
សាសនា,saasnaa
គណនី,keaʔnaʔnii
បាច់,bac
នគរបាល,nɔkɔɔbaal
មាន់,moan
ឡាយ,laay
ប្រឹក្សា,prəksaa
នាម,niem
ពិចារណា,piʔcaaraʔnaa
ប្រអប់,prɑʔɑp
តួ,tuə
ពិបាក,piʔbaak
ធានា,tʰienie
អាទិត្យ,ʔaatɨt
ទេសចរណ៍,teehsaʔcɑɑ
ឯករាជ្យ,ʔaekaʔriec
បង្កើន,bɑŋkaən
ឈឺ,cʰɨɨ
រាយការណ៍,riey kaa
សរុប,saʔrop
ចោរ,cao
ខាន,kʰaan
ធម៌,tʰoa
ប្រវត្តិ,prɑvoat
បំផ្លាញ,bɑmplaaɲ
ជំនួស,cumnuəh
រចនា,raʔcaʔnaa
ក្រម,krɑm
ជុំ,cum
ទ្រព្យ,troap
ម៉ែត្រ,maet
សង្ស័យ,sɑŋsay
សូត្រ,soot
ជំលោះ,cumlʊəh
ស្រែក,sraek
ស្មើ,smaǝ
ចរាចរ,cɑɑraacɑɑ
ខ្វះ,kvah
តម្លា,tɑmlaa
ព្រហស្បតិ៍,prɔhoah
ទូទៅ,tuu təv
សំឡេង,sɑmleɛŋ
ភ្លេច,plɨc
អាណត្តិ,ʔaanat
ចិញ្ចឹម,cəɲcəm
វែង,vɛɛŋ
ឈាម,cʰiem
និស្សិត,nihsət
ក្រ,krɑɑ
ទាប,tiep
មាត្រា,mietraa
ងារ,ŋie
ស្រូវ,srǝv
ធនធាន,tʰʊəntʰien
ស្វែង,svaeŋ
ដំណឹង,dɑmnəŋ
បុគ្គលិក,bokkeaʔlɨk
ប៉ិច,pəc
លើស,lǝǝh
ភ័យ,pʰey
ទន្លេ,tʊənlee
ស្នាម,snaam
សន្យា,sɑnyaa
បណ្ដា,bɑndaa
ទុក្ខ,tuk
ពេទ្យ,pɛɛt
នេសាទ,neesaat
ថ្ម,tmɑɑ
សង្កេត,sɑŋkeɛt
ជប៉ុន,ceaʔpon
នាគ,niek
ជាក់,ceak
ថ្នាំ,tnam
ធនាគារ,tʰeaʔniekie
កាយ,kaay
បារម្ភ,baarɑm
ចាំបាច់,cam bac
ប្ដឹង,pdəŋ
ឃាត់,kʰoat
ម៉ាស៊ីន,maasɨn
ទ័ព,toap
អាក្រក់,ʔaakrɑk
ចំណេះ,cɑmneh
ខ្លី,kləy
ទាល់,toal
បម្រើ,bɑmraə
របង,rɔbɑɑŋ
ហាង,haaŋ
ហត្ថលេខា,hattʰaʔleekʰaa
ពូកែ,puu kae
ខែត្រ,kʰaet
វិច្ឆិកា,vɨccʰeʔkaa
សញ្ញា,saɲɲaa
វិល,vɨl
ព្រះរាជ,preah riec
ពុទ្ធ,put
ទ្វារ,tvie
រាង,rieŋ
បន្ទប់,bɑntup
ម្យ៉ាង,myaaŋ
សម្រួល,sɑmruǝl
យន្ត,yʊən
បែក,baek
ឯកជន,ʔaekaʔcɔǝn
អ៊ីចឹង,ʔii cəŋ
សៅរ៍,sav
កាន់តែ,kan tae
វគ្គ,veak
ចាញ់,caɲ
លឿន,lɨǝn
ពង្រឹង,pʊəŋrɨŋ
ព្រួយ,pruəy
នគរ,nɔkɔɔ
ទំនាក់,tumneak
វិភាគ,viʔpʰiek
បែរ,bae
គ្រង,krɔɔŋ
បុគ្គល,bokkʊəl
ពត៌មាន,poadɑɑmien
ឈាន,cʰien
បក្ស,pak
បណ្ដាញ,bɑndaaɲ
គណៈកម្មការ,keaʔnaʔkammaʔkaa
ពណ៌,poa
ត្រៀម,triəm
ធ្ងន់,tŋʊən
ពាន់,poan
ឧបត្ថម្ភ,ʔuʔpattʰam
ទិវា,tiʔvie
បន្ទុក,bɑntuk
វិនិយោគ,viʔniʔyook
អូរ,ʔoo
ស្ទើរ,stǝǝ
ដែក,daek
គំរាម,kumriem
អក,ʔɑɑk
មេត្តា,meettaa
ពោល,pool
អនាគត,ʔaʔnaakʊət
បាក់,bak
ខាត,kʰaat
ទាន,tien
ត្រួត,truət
ស្ថាន,stʰaan
ចម្រៀង,cɑmriəŋ
កក់,kɑk
ប្រយុទ្ធ,prɑyut
ហាហា,haa-haa
សឹង,sǝŋ
បច្ចេកទេស,pacceɛkaʔteeh
យាយ,yiey
ដេញ,dəɲ
នរោត្តម,nɔɔroodɑm
អគ្គ,ʔaʔkeaʔ
ទល់,tʊəl
កំពូល,kɑmpuul
ដំរី,dɑmrəy
ខឹង,kʰəŋ
ជញ្ជូន,cʊəɲcuun
ពន្យល់,pʊənyʊəl
កត់,kɑt
ខូច,kʰooc
ពីព្រោះ,pii prʊəh
ផែនការ,pʰaenkaa
ពូជ,puuc
វិបត្តិ,viʔbat
អូន,ʔoon
រីករាយ,riik-riey
អូ,ʔoo
បន្ទាន់,bɑntoan
ផ្លែ,plae
រោងចក្រ,rooŋ cak
សង្គ្រាម,sɑŋkriem
រឹង,rɨŋ
អនុវត្តន៍,ʔaʔnuʔvoat
គ្រោង,krooŋ
តំណែង,tɑmnaeŋ
ភ្លៀង,pliəŋ
ប្រៀប,priəp
ថ្វាយ,tvaay
ពង,pɔɔŋ
សរសើរ,sɑɑ saə
វិធានការ,viʔtʰieneaʔkaa
យំ,yum
ស្នេហា,snaehaa
ប្រឹង,prəy
រសៀល,rɔsiəl
ប្លក់,plɑk
របោះ,rɔbɑh
ប្រសិទ្ធ,prɑsət
សាំង,saŋ
ទំហំ,tumhum
ខិតខំ,kʰət kʰɑm
ប្ដូរ,pdoo
បួន,buən
ស្នាដៃ,snaa day
អនុ,ʔaʔnuʔ
កសិករ,kaʔseʔkɑɑ
បុរាណ,boʔraan
ការពិត,kaapit
ចែង,caeŋ
ជី,cii
បដិសេធ,paʔdeʔsaet
សភាព,saʔpʰiep
ផឹក,pʰək
រដ្ឋធម្មនុញ្ញ,roattʰaʔtʰoameaʔnuɲ
ចរចា,cɑɑ caa
លទ្ធភាព,lattʰeaʔpʰiep
រោង,rooŋ
ប៉ះ,pah
ថាស,tʰaah
ម៉ែ,mae
ផ្លាស់,plah
ជំនាន់,cumnoan
ក្បាច់,kbac
ឈុត,cʰut
រាំង,reaŋ
គូរ,kuu
ជួល,cuəl
សង្ឃ,sɑŋ
អាស្រ័យ,ʔaasray
ស្អី,sʔǝy
អឺរ៉ុប,ʔəərop
សន្សំ,sɑnsɑm
វិចារ,viʔcaaraʔ
សំណាង,sɑmnaaŋ
បំភ្លឺ,bɑmplɨɨ
ខ្នង,knɑɑŋ
ព្យាបាល,pyiebaal
សំដៅ,sɑmdav
កង់,kaŋ
សន្លឹក,sɑnlək
ប្រទះ,prɑteah
វត្ថុ,voattʰoʔ
ក្រែង,kraeŋ
ព្រែក,prɛɛk
សាក,saak
ហុង,hoŋ
ចាក,caak
ញ៉ាំ ,ɲam
បណ្ដឹង,bɑndəŋ
ខ្លា,klaa
វចនានុក្រម,veaʔcaʔnaanuʔkrɑm
ប្លន់,plɑn
សំដែង,sɑmdaəŋ
ហាម,haam
ទូក,tuuk
ផ្ទុះ,ptuh
វិទ្យាល័យ,vittyielay
បាតុកម្ម,paatoʔkam
ស្នាក់,snak
សង់,sɑŋ
ជួន,cuən
ជោគជ័យ,cookcey
ប្រតិបត្តិ,prɑteʔbat
វិជ្ជា,vɨccie
ខន,kʰɑɑn
ឧបករណ៍,ʔuʔpaʔkɑɑ
មនសិការ,meaʔneaʔseʔkaa
ទេសចរ,teehsaʔcɑɑ
ប្រជាធិបតេយ្យ,prɑcietʰiʔpaʔtay
សណ្ឋាគារ,sɑntʰaakie
ប្រក្រតី,prɑʔkrɑdəy
ត្រា,traa
ផ្ទាំង,pteaŋ
ភព,pʰup
ឫស,rɨh
បោក,baok
ជាស,cieh
អនុសាសន៍,ʔaʔnuʔsaah
ប្រដាប់,prɑdap
លាង,lieŋ
ទិស,tɨh
អ៊ី,ʔii
ឡែក,laek
សុទ្ធតែ,sot tae
ទារ,tie
ព្រឹត្តិការណ៍,prɨtteʔkaa
បន្ទាត់,bɑntoat
ចាយ,caay
បំបាត់,bɑmbat
ស្រេច,srac
បង្ក្រាប,bɑŋkraap
បាត,baat
មាតា,miedaa
កង្វល់,kɑŋvɑl
ឆ្ងល់,cŋɑl
កា,kaa
ច្បាស់លាស់,cbah loah
រាយ,riey
ព្រះបាទ,preah baat
ទេស,teeh
រង្វង់,rʊəŋvʊəŋ
បង្ខំ,bɑŋkʰɑm
