orth,pron_no_tones,pron_with_tones
ສາມາດ,saːmaːt,saː˩˧maːt˥˨
ກວ່າ,kwaː,kwaː˧
ທາງ,tʰaːŋ,tʰaːŋ˧˥
ຫລື,lɯː,lɯː˥˨
ສ້າງ,saːŋ,saːŋ˧˩
ລັດ,lat,lat˧
ຜູ້,pʰuː,pʰuː˧˩
ຕະ,ta,ta˧˥
ແບບ,bɛːp,bɛːp˧˩
ແຫ່ງ,hɛːŋ,hɛːŋ˧
ພັດທະນາ,pʰattʰanaː,pʰat˧tʰa˧naː˧˥
ເຂົ້າ,kʰao,kʰao˧˩
ອ່ານ,aːn,aːn˧
ເວລາ,weːlaː,weː˧˥laː˧˥
ຕາ,taː,taː
ຂຶ້ນ,kʰin,kʰin˧˩
ນຳ,nam,nam˧˥
ຖືກ,tʰɯːk,tʰɯːk˧˩
ສົ່ງ,soŋ,soŋ˧
ເຖິງ,tʰəŋ,tʰəŋ˩˧
ສ່ວນ,suaːn,suaːn˧
ວຽງຈັນ,wiaːŋt͡ɕan,wiaːŋ˧˥t͡ɕan
ບົດ,bot,bot˧˥
ມີການ,miːkaːn,miː˧˥kaːn
ດີ,diː,diː
ຂະ,kʰa,kʰa˧˥
ໄດ້ຮັບ,dajhap,daj˥˨hap˧
ດ້ານ,daːn,daːn˥˨
ກະ,ka,ka˧˥
ຂ່າວ,kʰaːo,kʰaːo˧
ອັນ,an,an
ລ້ານ,laːn,laːn˥˨
ຄັ້ງ,kʰaŋ,kʰaŋ˥˨
ຖ້າ,tʰaː,tʰaː˧˩
ຂໍ້,kʰɔː,kʰɔː˧˩
ເດືອນ,dɯːə̯n,dɯːə̯n
ພາກ,pʰaːk,pʰaːk˥˨
ລະ,la,la˧
ບັນດາ,bandaː,bandaː
ບ້ານ,baːn,baːn˥˨
ຄະນະ,kʰana,kʰa˧na˧
ຜົນ,pʰon,pʰon˩˧
ເຮັດ,het,het˧
ທາ,tʰaː,tʰaː˧˥
ປະຕິບັດ,patibat,pa˧˥ti˧˥bat˧˥
ນາງ,naːŋ,naːŋ˧˥
ໂລກ,loːk,loːk˥˨
ກີບ,kiːp,kiːp˧˩
ງານ,ŋaːn,ŋaːn˧˥
ໂຄງການ,kʰoːŋkaːn,kʰoːŋ˧˥kaːn
ພາສາ,pʰaːsaː,pʰaː˧˥saː˩˧
ພາບ,pʰaːp,pʰaːp˥˨
ທັງ,tʰaŋ,tʰaŋ˧˥
ພັກ,pʰak,pʰak˧
ປະມານ,pamaːn,pa˧˥maːn˧˥
ປະ,pa,pa˧˥
ໃສ່,saj,saj˧
ພັນ,pʰan,pʰan˧˥
ເພາະ,pʰɔ,pʰɔ˧
ໄຊ,saj,saj˧˥
ອອກ,ɔːk,ɔːk˧˩
ລົງ,loŋ,loŋ˧˥
ມູນ,muːn,muːn˧˥
ແກ່,kɛː,kɛː˧
ຂຽນ,kʰiaːn,kʰiaːn˩˧
ໄທ,tʰaj,tʰaj˧˥
ກະຊວງ,kasuaːŋ,ka˧˥suaːŋ˧˥
ເຊັ່ນ,sen,sen˧
ເອົາ,ao,ao
ວັນ,wan,wan˧˥
ສອງ,sɔːŋ,sɔːŋ˩˧
ການຄ້າ,kaːnkʰaː,kaːnkʰaː˥˨
ປັດຈຸບັນ,patt͡ɕuban,pat˧˥t͡ɕu˧˥ban
ບໍ່ໄດ້,bɔːdaj,bɔː˧daj˥˨
ນັກ,nak,nak˧
ສຳລັບ,samlap,sam˩˧lap˧
ກອງປະຊຸມ,kɔːŋpasum,kɔːŋpa˧˥sum˧˥
ຈຳນວນ,t͡ɕamnuaːn,t͡ɕamnuaːn˧˥
ຈັດ,t͡ɕat,t͡ɕat˧˥
ບໍ່ມີ,bɔːmiː,bɔː˧miː˧˥
ພະ,pʰa,pʰa˧
ວະ,wa,wa˧
ຫາ,haː,haː˩˧
ບັນຫາ,banhaː,banhaː˩˧
ລະບົບ,labop,la˧bop˧˥
ເຂດ,kʰeːt,kʰeːt˧˩
ຕອນ,tɔːn,tɔːn
ກ່າວ,kaːo,kaːo˧
ບັນ,ban,ban
ສັງຄົມ,saŋkʰom,saŋ˩˧kʰom˧˥
ເຈົ້າ,t͡ɕao,t͡ɕao˥˨
ລະຫວ່າງ,lawaːŋ,la˧waːŋ˧
ມະ,ma,ma˧
ນ້ຳ,nam,nam˥˨
ເຂົ້າຮ່ວມ,kʰaohuaːm,kʰao˧˩huaːm˧
ປູກ,puːk,puːk˧˩
ຂ້າ,kʰaː,kʰaː˧˩
ໃຫມ່,maj,maj˧
ລະດັບ,ladap,la˧dap˧˥
ຫນ້າ,naː,naː˧˩
ຈັດຕັ້ງ,t͡ɕattaŋ,t͡ɕat˧˥taŋ˥˨
ຮັກ,hak,hak˧
ກ່ອນ,kɔːn,kɔːn˧
ຊາວ,saːo,saːo˧˥
ອົງການ,oŋkaːn,oŋkaːn
ກຸ່ມ,kum,kum˧
ໂຕ,toː,toː
ຄອບຄົວ,kʰɔːpkʰuaː,kʰɔːp˥˨kʰuaː˧˥
ຕົວ,tuaː,tuaː
ສະພາບ,sapʰaːp,sa˧˥pʰaːp˥˨
ໄວ້,waj,waj˥˨
ທຸກ,tʰuk,tʰuk˧
ລູກ,luːk,luːk˥˨
ເວົ້າ,wao,wao˥˨
ສະບັບ,sabap,sa˧˥bap˧˥
ສີ,siː,siː˩˧
ຊີວິດ,siːwit,siː˧˥wit˧
ຜ່ານ,pʰaːn,pʰaːn˧
ຮັບ,hap,hap˧
ເບິ່ງ,bəŋ,bəŋ˧
ສູງ,suːŋ,suːŋ˩˧
ສາກົນ,saːkon,saː˩˧kon
ນາ,naː,naː˧˥
ເງິນ,ŋən,ŋən˧˥
ຂັ້ນ,kʰan,kʰan˧˩
ມີນາ,miːnaː,miː˧˥naː˧˥
ມັກ,mak,mak˧
ສານ,saːn,saːn˩˧
ກິລາ,kiriniː,ki˧˥ri˧niː˧˥
ຢູ່ໃນ,juːnaj,juː˧naj˧˥
ສິງຫາ,siŋhaː,siŋ˩˧haː˩˧
ວົງ,woŋ,woŋ˧˥
ອິນ,in,in
ລົງທຶນ,loŋtʰɯn,loŋ˧˥tʰɯn˧˥
ເຂົາ,kʰao,kʰao˩˧
ແຕ່ລະ,tɛːla,tɛː˧la˧
ຊີ,siː,siː˧˥
ພະນັກງານ,pʰanakŋaːn,pʰa˧nak˧ŋaːn˧˥
ຫຍັງ,ɲaŋ,ɲaŋ˩˧
ເປີດ,pəßːt,pəßːt˧˩
ຮຽນ,hiːan,hiːan˧˥
ຮອງ,hɔːŋ,hɔːŋ˧˥
ບາງ,baːŋ,baːŋ
ໃດ,daj,daj
ໃຫຍ່,ɲaj,ɲaj˧
ເພີ່ມ,pʰəːm,pʰəːm˧
ເປັນຕົ້ນ,penton,penton˥˨
ເອກະ,eːka,eːka˧˥
ກຳລັງ,kamlaŋ,kamlaŋ˧˥
ການຮ່ວມ,kaːnhuaːm,kaːnhuaːm˧
ປະຈຸ,pat͡ɕu,pa˧˥t͡ɕu˧˥
ເປັນການ,penkaːn,penkaːn
ບອກ,bɔːk,bɔːk˧˩
ສະແດງ,sadɛːŋ,sa˧˥dɛːŋ
ຕ່າງ,taːŋ,taːŋ˧
ວາງ,waːŋ,waːŋ˧˥
ທັນວາ,tʰanwaː,tʰan˧˥waː˧˥
ຢາກ,jaːk,jaːk˧˩
ຮອດ,hɔːt,hɔːt˥˨
ຂໍ,kʰɔː,kʰɔː˩˧
ກຸມພາ,kumpʰaː,kumpʰaː˧˥
ປະທານ,patʰaːn,pa˧˥tʰaːn˧˥
ໄວ,waj,waj˧˥
ສາ,saː,saː˩˧
ຮູບ,huːp,huːp˥˨
ມະຫາວິທະຍາໄລ,mahaːwittʰaɲaːlaj,ma˧haː˩˧wit˧tʰa˧ɲaː˧˥laj
ວັດ,wat,wat˧
ບໍ,bɔː,bɔː
ສຳຄັນ,sam,sam˩˧
ເອງ,eːŋ,eːŋ
ເພິ່ນ,pʰən,pʰən˧
ຕຸລາ,tulaː,tu˧˥laː˧˥
ແມ່,mɛː,mɛː˧
ມັງກອນ,maŋkɔːn,maŋ˧˥kɔːn
ລົດ,lot,lot˧
ຍ້ອນ,ɲɔːn,ɲɔːn˥˨
ປະກອບ,pakɔːp,pa˧˥kɔːp˧˩
ພວກ,pʰuaːk,pʰuaːk˥˨
ໂດລາ,doːlaː,doːlaː˧˥
ເມ,meː,meː˧˥
ບຸນ,bun,bun
ພຣະ,pʰra,pʰra˧
ເກີດ,keːt,keːt˧˩
ວິ,wi,wi˧
ໂຕນ,toːn,toːn
ຈຸດ,t͡ɕut,t͡ɕut˧˥
ກັນຍາ,kanɲaː,kanɲaː˧˥
ລາຄາ,laːkʰaː,laː˧˥kʰaː˧˥
ຊາ,saː,saː˧˥
(ບໍ່)ໄດ້...ເທື່ອ,(bɔː)daj...tʰiaː,(bɔː˧)daj˥˨...tʰiaː˧
ພ້ອມ,pʰɔːm,pʰɔːm˥˨
ສູນ,suːn,suːn˩˧
ກາ,kaː,kaː
ທຶນ,tʰɯn,tʰɯn˧˥
ຊົນ,son,son˧˥
ຈົນ,t͡ɕon,t͡ɕon
ການສຶກສາ,kaːnsɯksaː,kaːnsɯk˧˥saː˩˧
ໄມ້,maj,maj˥˨
ນ້ຳມັນ,namman,nam˥˨man˧˥
ສະມາຊິກ,samaːsik,sa˧˥maː˧˥sik˧
ຍັງບໍ່,ɲaŋbɔː,ɲaŋ˧˥bɔː˧
ດຽວ,diaːw,diaːw
ໃຜ,pʰaj,pʰaj˩˧
ລາ,laː,laː˧˥
ສະຫະ,saha,sa˧˥ha˧˥
ປັບປຸງ,pappuŋ,pap˧˥puŋ
ຄວນ,kʰuaːn,kʰuaːn˧˥
ງາມ,ŋaːm,ŋaːm˧˥
ມິຖຸນາ,mitʰunaː,mi˧tʰu˧˥naː˧˥
ພຶດສະພາ,pʰɯtsapʰaː,pʰɯt˧sa˧˥pʰaː˧˥
ອາຫານ,aːhaːn,aːhaːn˩˧
ຕັ້ງ,taŋ,taŋ˥˨
ແຜນ,pʰɛːn,pʰɛːn˩˧
ໂຮງຮຽນ,hoːŋhiaːn,hoːŋ˧˥hiaːn˧˥
ເຜົ່າ,pʰao,pʰao˧
ທຳ,tʰam,tʰam˧˥
ອາຍຸ,aːɲu,aːɲu˧
ກົດ,kot,kot˧˥
ທ້າວ,tʰaːo,tʰaːo˥˨
ອາ,aː,aː
ທີ່ສຸດ,tʰiːsut,tʰiː˧sut˧˥
ສົມ,soːm,soːm˩˧
ພິທີ,pʰitʰiː,pʰi˧tʰiː˧˥
ປະເພດ,papʰeːt,pa˧˥pʰeːt˥˨
ສອນ,sɔːn,sɔːn˩˧
ພົບ,pʰop,pʰop˧
ເຄື່ອງ,kʰiaːŋ,kʰiaːŋ˧
ປະຈຳ,pat͡ɕam,pa˧˥t͡ɕam
ໂອກາດ,oːkaːt,oːkaːt˧˩
ການທີ່,kaːntʰiː,kaːntʰiː˧
ທອງ,tʰɔːŋ,tʰɔːŋ˥˨
ຫາກ,haːk,haːk˧˩
ຄວາມຮັກ,kʰwaːmhak,kʰwaːm˧˥hak˧
ແນວ,nɛːw,nɛːw˧˥
ກອງ,kɔːŋ,kɔːŋ
ວ່າການ,waːkaːn,waː˧kaːn
ກະທົບ,katʰop,ka˧˥tʰop˧
ທະ,tʰa,tʰa˧
ດຽວກັນ,diaːwkan,diaːwkan
ນະ,na,na˧
ສົ່ງເສີມ,soŋsəːm,soŋ˧səːm˩˧
ທະນາຄານ,tʰanaːkʰaːn,tʰa˧naː˧˥kʰaːn˧˥
ຍິງ,ɲiŋ,ɲiŋ˧˥
ສິດ,sit,sit˧˥
ກິນ,kin,kin
ຕອບ,tɔːp,tɔːp˧˩
ອັງກິດ,aŋkit,aŋkit˧˥
ກໍ່ໄດ້...ກໍ່ຕາມ,kɔːdaj...kaːtaːm,kɔː˧daj˥˨...kaːtaːm
ລັກ,lak,lak˧
ໂນ,noː,noː˧˥
ຮັກສາ,haksaː,hak˧saː˩˧
ສຽງ,siaːŋ,siaːŋ˩˧
ຕົ້ນ,ton,ton˥˨
ກາງ,kaːŋ,kaːŋ
ຊາດ,saːt,saːt˥˨
ອົບ,op,op˧˥
ເຫລືອ,lɯːə̯,lɯːə̯˩˧
ເດັກ,dek,dek˧˥
ລີ,liː,liː˧˥
ຍະ,ɲa,ɲa˧
ສຳ,sam,sam˩˧
ແນກ,nɛːk,nɛːk˥˨
ພືດ,pʰɯːt,pʰɯːt˥˨
ມະນຸດ,manut,ma˧nut˧
ຄິດ,kʰit,kʰit˧
ຮ່ວມ,huaːm,huaːm˧
ສຶກສາ,siksaː,sik˧˥saː˩˧
ຕົນ,ton,ton
ລິດ,lit,lit˧
ຊື່,sɯː,sɯː˧
ໃຫ້ໄດ້,hajdaj,haj˧˩daj˥˨
ພັດ,pʰat,pʰat˧
ຕ້ອງການ,tɔːŋkaːn,tɔːŋ˥˨kaːn
ວຽກ,wiaːk,wiaːk˥˨
ພະຍາດ,pʰaɲaːt,pʰa˧ɲaːt˥˨
ອາດ,aːt,aːt˧˩
ອື່ນ,ɯːn,ɯːn˧
ຢາ,jaː,jaː
ບ່ອນ,bɔːn,bɔːn˧
ສາມ,saːm,saːm˩˧
ມື,mɯ,mɯ˧˥
ປາ,paː,paː
ວິທີ,witʰiː,wi˧tʰiː˧˥
ແຮງ,hɛːŋ,hɛːŋ˧˥
ມະຫາ,mahaː,ma˧haː˩˧
ທົ່ວ,tʰuaː,tʰuaː˧
ເກັບ,kep,kep˧˥
ລາດ,laːt,laːt˥˨
ຕິດ,tit,tit˧˥
ຮົມ,hom,hom˧˥
ຟັງ,faŋ,faŋ˧˥
ພຽງ,pʰiaːŋ,pʰiaːŋ˧˥
ສັດ,sat,sat˧˥
ສິ່ງ,siŋ,siŋ˧
ຫ້ອງ,hɔːŋ,hɔːŋ˧˩
ຄ່າ,kʰaː,kʰaː˧
ຊະນິດ,sanit,sa˧nit˧
ຊົມ,som,som˧˥
ລຳ,lam,lam˧˥
ຮູ້,huː,huː˥˨
ປັກ,pak,pak˧˥
ດອກ,dɔːk,dɔːk˧˩
ໂອ,t͡ɕː,t͡ɕː
ກິດ,kit,kit˧˥
ສູ່,suː,suː˧
ແຈ້ງ,t͡ɕɛːŋ,t͡ɕɛːŋ˥˨
ມາດ,maːt,maːt˥˨
ພິເສດ,pʰiseːt,pʰi˧seːt˧˩
ແທ້,tʰeː,tʰeː˥˨
ຕົກ,tok,tok˧˥
ປ່າ,paː,paː˧
ກົມ,kom,kom
ອີ,iː,iː
ໃຕ້,taj,taj˥˨
ລະອຽດ,laiaːt,la˧iaːt˧˩
ຄືນ,kʰɯːn,kʰɯːn˧˥
ດັ່ງ,daŋ,daŋ˧
ບໍ່ແມ່ນ,bɔːmɛːn,bɔː˧mɛːn˧
ນີ,niwɔːn,ni˧wɔːn˧˥
ໃຈ,t͡ɕaj,t͡ɕaj
ຮ້ານ,haːn,haːn˥˨
ເຕີ,təː,təː
ສາວ,saːo,saːo˩˧
ມອບ,mɔːp,mɔːp˥˨
ຝຣັ່ງ,fraŋ,fraŋ˧
ບໍ່ສາມາດ,bɔːsaːmaːt,bɔː˧saː˩˧maːt˥˨
ຢ່າ,jaː,jaː˧
ແດ່,dɛː,dɛː˧
ນຶ່ງ,nɯŋ,nɯŋ˧
ໂຮງງານ,hoːŋŋaːn,hoːŋ˧˥ŋaːn˧˥
ສະເພາະ,sapʰɔo,sa˧˥pʰɔo˧
ຊຸດ,sut,sut˧
ຍີ່ປຸ່ນ,ɲiːpun,ɲiː˧pun˧
ຖາມ,tʰaːm,tʰaːm˩˧
ເລືອກ,lɯːə̯k,lɯːə̯k˥˨
ຄົນລາວ,kʰonlaːo,kʰon˧˥laːo˧˥
ສາດ,saːt,saːt˧˩
ຊັ້ນ,san,san˥˨
ຍົກ,ɲok,ɲok˧
ຖື,tʰɯː,tʰɯː˩˧
ທາງການ,tʰaːŋkaːn,tʰaːŋ˧˥kaːn
ຍາວ,ɲaːo,ɲaːo˧˥
ເກົ່າ,kao,kao˧
ກອນ,kɔːn,kɔːn
ປ່ຽນ,piaːn,piaːn˧
ຫົວ,huaː,huaː˩˧
ເຕັກນິກ,teknik,tek˧˥nik˧
ທຳອິດ,tʰamit,tʰam˧˥it˧˥
ຕິ,ti,ti˧˥
ຄັນ,kʰan,kʰan˧˥
ຄັດ,kʰat,kʰat˧
ເຮືອນ,hɯːə̯n,hɯːə̯n˧˥
ດື່ມ,dɯːm,dɯːm˧
ເຂື່ອນ,kʰiaːn,kʰiaːn˧
ຄົມ,kʰom,kʰom˧˥
ກຳນົດ,kamnot,kamnot˧
ຊິ,si,si˧
ສິນ,sin,sin˩˧
ຜູ້ທີ່,pʰuːtʰiː,pʰuː˧˩tʰiː˧
ໂລ,loː,loː˧˥
ປະກາດ,pakaːt,pa˧˥kaːt˧˩
ກຽດ,kiaːt,kiaːt˧˩
ຫັນ,han,han˩˧
ຈັກ,t͡ɕak,t͡ɕak˧˥
ດິນ,din,din
ທຽບ,tʰiaːp,tʰiaːp
ລາງວັນ,laːŋwan,laːŋ˧˥wan˧˥
ຕໍ່ໄປ,tɔːpaj,tɔː˧paj
ປາກ,paːk,paːk˧˩
ຂາດ,kʰaːt,kʰaːt˧˩
ຣິ,ri,ri˧
ເອ,eː,eː
ເຊື່ອມ,sɯːə̯m,sɯːə̯m˧
ດຳເນີນ,damnəːn,damnəːn˧˥
ຄວາມສາມາດ,kʰwaːmsaːmaːt,kʰwaːm˧˥saː˩˧maːt˥˨
ພຽງແຕ່,pʰiaːŋtɛː,pʰiaːŋ˧˥tɛː˧
ນາທີ,naːtʰiː,naː˧˥tʰiː˧˥
ລົມ,lom,lom˧˥
ອາຊີ,aːsiː,aːsiː˧˥
ຖານ,tʰaːn,tʰaːn˩˧
ອົງ,oŋ,oŋ
ບໍ່ຮູ້,bɔːhuː,bɔː˧huː˥˨
ອາຈານ,aːt͡ɕaːn,aːt͡ɕaːn
ພູ,pʰuː,pʰuː˧˥
ບັນລຸ,banlu,banlu˧
ສິງ,siŋ,siŋ˩˧
ຫົວຫນ້າ,huaːnaː,huaː˩˧naː˧˩
ຮອບ,hɔːp,hɔːp˥˨
ລອງ,lɔːŋ,lɔːŋ˧˥
ພາ,pʰaː,pʰaː˧˥
ໄຟ,faj,faj˧˥
ສຸກ,suk,suk˧˥
ບໍ່ໃຫ້,bɔːhaj,bɔː˧haj˧˩
ພໍ,pʰɔː,pʰɔː˧˥
ປະສົບ,pasop,pa˧˥sop˧˥
ຫລັງ,laŋ,laŋ˩˧
ດາ,daː,daː
ສະມາຄົມ,samaːkʰom,sa˧˥maː˧˥kʰom˧˥
ທັນ,tʰan,tʰan˧˥
ບໍ່ທັນ,bɔːtʰan,bɔː˧tʰan˧˥
ນະຄອນ,nakʰɔːn,na˧kʰɔːn˧˥
ພວມ,pʰuaːm,pʰuaːm˧˥
ຫນອງ,nɔːŋ,nɔːŋ˩˧
ໄຫມ,maj,maj˩˧
ປະກົດ,pakot,pa˧˥kot˧˥
ແຕ່ວ່າ,tɛːwa,tɛː˧wa˧
ເກືອບ,kɯːə̯p,kɯːə̯p˧˩
ໂມງ,moːŋ,moːŋ˧˥
ເງື່ອນໄຂ,ŋɯːə̯nkʰaj,ŋɯːə̯n˧kʰaj˩˧
ວິຊາ,wisaː,wi˧saː˧˥
ການທ່ອງທ່ຽວ,kaːntʰɔːŋtʰiaːw,kaːntʰɔːŋ˧tʰiaːw˧
ບັດ,bat,bat˧˥
ນອນ,nɔːn,nɔːn˧˥
ນອກ,nɔːk,nɔːk˥˨
ມີຜົນ,miːpʰon,miː˧˥pʰon˩˧
ຕື່ມ,tɯːm,tɯːm˧
ຕິດຕາມ,tittaːm,tit˧˥taːm
ສັນຍາ,sanɲaː,san˩˧ɲaː˧˥
ເດີ້,deː,deː˥˨
ຕົວຢ່າງ,tuaːjaːŋ,tuaːjaːŋ˧
ກະສິກອນ,kasikɔːn,ka˧˥si˧˥kɔːn
ໂຄງ,kʰoːŋ,kʰoːŋ˧˥
ຄອງ,kʰɔːŋ,kʰɔːŋ˧˥
ແກ້ວ,kɛːw,kɛːw˥˨
ຈຳປາສັກ,t͡ɕampaːsak,t͡ɕampaːsak˧˥
ອັກສອນ,aksɔːn,ak˧˥sɔːn˩˧
ຕ້ານ,taːn,taːn˥˨
ຈົ່ງ,t͡ɕoŋ,t͡ɕoŋ˧
ພໍ່,pʰɔː,pʰɔː˧
ແຟນ,fɛːn,fɛːn˧˥
ສຸດ,sut,sut˧˥
ດອນ,dɔːn,dɔːn
ໂດ,doː,doː
ບົດບາດ,botbaːt,bot˧˥baːt˧˩
ຄູ,kʰuː,kʰuː˧˥
ປັບ,pap,pap˧˥
ອະນຸ,anu,a˧˥nu˧
ຫລຽນ,liaːn,liaːn˩˧
ໃບ,baj,baj
ບຸກຄົນ,bukkʰon,buk˧˥kʰon˧˥
ຣັຖບານ,rattʰabaːn,rat˧tʰa˧˥baːn
ຈຳກັດ,t͡ɕamkat,t͡ɕamkat˧˥
ການເມືອງ,kaːnmɯːə̯ŋ,kaːnmɯːə̯ŋ˧˥
ເຕັກ,tek,tek˧˥
ຕິດຕັ້ງ,tittaŋ,tit˧˥taŋ˥˨
ທ້ອງຖິ່ນ,tʰɔːŋtʰin,tʰɔːŋ˥˨tʰin˧
ກ່ຽວ,kiaːw,kiaːw˧
ຊະນະ,sana,sa˧na˧
ຂົງເຂດ,kʰoŋkʰeːt,kʰoŋ˩˧kʰeːt˧˩
ອາການ,aːkaːn,aːkaːn
ຝຶກ,fɯk,fɯk˧˥
ນາຍົກ,naːɲok,naː˧˥ɲok˧
ຫລວງພະບາງ,luaːŋpʰrabaːŋ,luaːŋ˩˧pʰra˧baːŋ
ແລ່ນ,lɛːn,lɛːn˧
ແພດ,pʰɛːt,pʰɛːt˥˨
ບໍ່ວ່າ,bɔːwaː,bɔː˧waː˧
ຍາກ,ɲaːk,ɲaːk˥˨
ສຸມ,sum,sum
ອັນດັບ,andap,andap˧˥
ໃສ,saj,saj˩˧
ທ່າ,tʰaː,tʰaː˧
ດຳ,dam,dam
ເຂົ້າໃຈ,kʰaot͡ɕaj,kʰao˧˩t͡ɕaj
ທາດ,tʰaːt,tʰaːt˥˨
ສວນ,suaːn,suaːn˩˧
ເສີມ,səːm,səːm˩˧
ພົວພັນ,pʰuaːpʰan,pʰuaː˧˥pʰan˧˥
ຫົວໃຈ,huaːt͡ɕaj,huaː˩˧t͡ɕaj
ບິນ,bin,bin
ກະກຽມ,kakiaːm,ka˧˥kiaːm
ໄອ,aj,aj
ບາດ,baːt,baːt˧˩
ເພດ,pʰeːt,pʰeːt˥˨
ນ້ຳຂອງ,namkʰɔːŋ,nam˥˨kʰɔːŋ˩˧
ແສງ,sɛːŋ,sɛː˩˧ŋ
ຕີ,tiː,tiː
ຫມົດ,mot,mot˧˥
ຈຳ,t͡ɕam,t͡ɕam
ນັ່ງ,naŋ,naŋ˧
ແຫນງ,nɛːŋ,nɛːŋ˩˧
ປະເພນີ,papʰeːniː,pa˧˥pʰeː˧˥niː˧˥
ເຊື່ອ,sɯːə̯,sɯːə̯˧
ອະ,a,a˧˥
ພົມ,pʰom,pʰom˧˥
ສາລີ,saːliː,saː˩˧liː˧˥
ແສນ,sɛːn,sɛːn˩˧
ນ້ອງ,nɔːŋ,nɔːŋ˥˨
ອາກາດ,aːkaːt,aːkaːt˧˩
ຫມູ່,muː,muː˧
ທາວ,tʰaːo,tʰaːo˧˥
ສະພາ,sapʰaː,sa˧˥pʰaː˧˥
ເຮືອບິນ,hɯːə̯bin,hɯːə̯˧˥bin
ໄກ,kaj,kaj
ນັບ,nap,nap˧
ຮັບປະກັນ,happakan,hap˧pa˧˥kan
ພະຍາຍາມ,pʰaɲaːɲaːm,pʰa˧ɲaː˧˥ɲaːm˧˥
ນັບແຕ່,naptɛː,nap˧tɛː˧
ຮ້ອງ,hɔːŋ,hɔːŋ˥˨
ດົນ,don,don
ຕ່ຳ,tam,tam˧
ກວດ,kuaːt,kuaːt˧˩
ສັນຕິພາບ,santipʰaːp,san˩˧ti˧˥pʰaːp˥˨
ຜູ່,pʰuː,pʰuː˧
ວິທະຍຸ,witʰaɲu,wi˧tʰa˧ɲu˧
ຍອດ,ɲɔːt,ɲɔːt˥˨
ອາຊີບ,aːsiːp,aːsiːp˥˨
ລັກສະນະ,lakkʰanatʰin,lak˧kʰa˧na˧tʰin˧˥
ແດງ,dɛːŋ,dɛːŋ
ສັກ,sak,sak˧˥
ຕໍ່ມາ,tɔːmaː,tɔː˧maː˧˥
ຕົກລົງ,tokloŋ,tok˧˥loŋ˧˥
ເທດ,tʰeːt,tʰeːt˥˨
ຄວາມຮູ້,kʰwaːmhuː,kʰwaːm˧˥huː˥˨
ກິໂລ,kiloː,ki˧˥loː˧˥
ຫລວງ,luaːŋ,luaːŋ˩˧
ຊ້າງ,saːŋ,saːŋ˥˨
ອຸດ,ut,ut˧˥
ໃກ້,kaj,kaj˥˨
ສົກ,sok,sok˧˥
ໄຂ,kʰaj,kʰaj˩˧
ຈັນ,t͡ɕan,t͡ɕan
ສະຖາບັນ,satʰaːban,sa˧˥tʰaː˩˧ban
ຫນາດ,naːt,naːt˧˩
ວັນນີ,wanniː,wan˧˥niː˧˥
